#Fichero de Estímulos: FSM_Tanque_PLC
#Device Name: Discovery2NI
#Nombre: Juan María Herrera López
#Fecha: 10 de enero de 2022.
#
# Delay Time (ns)	Input (x).

    1000 ns            	000
    1000 ns		001
    1000 ns		010
    1000 ns		011
    1000 ns		010
    1000 ns		001
    1000 ns		000
    1000 ns            	000
    1000 ns		001
    1000 ns		001
    1000 ns		010
    1000 ns		010
    1000 ns		011
    1000 ns		011
    1000 ns		010
    1000 ns		010
    1000 ns		001
    1000 ns		001
    1000 ns		000
    1000 ns		010
    1000 ns		011
    1000 ns		001
    1000 ns		010
    1000 ns		000
